Data Download from NCSES Interactive Data Tool

Filters,Selected values
"State","ALL"
"Fiscal Year","ALL"
"Institution Name","ALL"

"Deflator: 2012 Dollars",
"Unit of Measure: Thousands of Dollars",

,"<Fiscal Year>","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973",
"Alabama","Jacksonville State U.","2,162","2,731","2,890","3,050","3,094","-","-","-","636","414","237","-","762","1,639","1,270","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alabama","Miles C.","-","-","-","-","-","-","-","-","-","-","-","206","213","-","-","-","-","10,839","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alabama","Oakwood U.","-","-","-","912","-","931","-","724","-","-","519","3,397","-","618","604","591","580","700","711","726","742","1,122","964","507","417","229","270","306","272","355","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alabama","Selma U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","152","279","282","342","689","1,051","609","1,185","987","1,241","1,330","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alabama","Talladega C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","86","-","-","-","-","-","-","-","-","-","-","-","-","-","596","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alabama","Trenholm State Technical C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","152","47","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alabama","Troy U.","-","-","-","-","-","-","-","-","-","-","197","-","266","273","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alabama","Tuskegee U.","18,305","15,014","15,318","15,609","19,792","24,060","20,785","15,991","15,986","16,212","19,518","17,613","17,197","14,414","13,919","15,076","13,485","12,295","11,955","11,390","12,077","49,618","44,389","12,381","10,361","10,116","7,980","7,130","6,724","7,993","8,714","6,353","4,824","3,210","1,506","1,720","1,955","1,980","2,003","1,493","1,292","-","2,502","4,125","3,658","4,133","5,901",
"Alabama","U. Alabama, Birmingham","541,148","534,103","520,482","507,695","492,638","413,352","433,193","453,779","513,359","509,668","458,362","430,327","381,437","369,552","365,863","367,713","344,718","314,679","290,391","299,014","303,933","302,485","273,699","232,558","220,934","201,353","194,123","175,039","172,151","173,710","164,019","143,976","127,427","106,703","86,432","76,387","61,327","72,849","73,270","73,236","69,871","65,013","58,901","58,614","54,689","52,465","46,235",
"Alabama","U. Alabama, Huntsville","97,699","90,262","87,427","91,439","84,397","86,155","99,274","87,388","77,176","78,746","78,250","80,414","79,752","68,651","65,579","59,251","57,865","59,657","54,808","52,863","52,642","49,076","44,082","52,165","51,116","44,724","49,554","47,556","43,900","46,434","42,666","31,542","19,560","13,084","9,923","8,019","7,173","6,031","6,771","7,085","5,767","4,698","6,264","4,017","4,258","4,345","5,933",
"Alabama","U. Alabama, Tuscaloosa","74,173","65,370","58,623","59,045","55,573","51,254","54,487","55,885","54,662","42,412","38,829","35,506","39,797","39,573","39,773","41,787","41,834","45,810","41,525","40,789","37,854","31,793","31,796","29,797","32,670","31,197","33,588","33,529","32,280","33,749","29,972","26,814","23,423","20,156","14,291","11,142","7,815","4,246","4,294","4,521","4,545","4,911","4,434","3,680","3,655","4,316","4,967",
"Alabama","U. Montevallo","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","51","44","36","27","19","10","16","13","40","26","-","45","3","3","37","104",
"Alabama","U. North AL","-","-","-","-","-","-","-","-","166","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","148",
"Alabama","U. South Alabama","46,774","37,280","38,380","44,055","41,724","40,202","39,890","40,172","43,043","36,937","34,611","31,707","28,308","21,905","22,227","23,704","23,464","21,828","12,364","12,635","15,700","15,927","17,574","20,323","18,682","19,771","18,355","18,236","19,634","17,441","17,113","14,525","13,442","13,605","13,701","11,384","9,621","7,738","7,560","5,718","5,863","5,852","3,214","4,109","10,704","6,446","3,930",
"Alaska","Total for selected values","150,715","150,003","163,434","157,935","155,563","168,240","181,290","181,983","189,508","188,208","182,388","175,447","185,221","190,714","177,106","173,985","173,472","159,003","149,391","138,452","123,451","101,428","95,852","97,983","100,815","108,310","97,003","100,827","102,443","102,984","92,385","84,418","83,147","80,849","78,034","75,920","73,911","79,892","78,989","99,719","95,297","109,962","105,165","91,290","70,820","69,959","66,073",
"Alaska","Alaska Pacific U.","1,579","1,402","1,156","1,282","1,189","-","-","-","528","452","436","328","-","-","-","-","-","53","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alaska","U. AK Southeast","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","173","105","329","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alaska","U. Alaska, Anchorage","19,340","19,156","19,325","18,769","16,639","16,541","19,906","20,194","18,977","17,385","14,105","14,162","15,949","18,342","15,550","15,670","14,930","14,417","10,318","6,125","6,262","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alaska","U. Alaska, Fairbanks","128,602","127,955","141,451","136,177","136,219","150,240","159,853","160,407","168,705","168,541","165,889","158,364","167,751","171,475","160,825","157,173","157,124","143,463","138,107","131,281","116,308","100,429","95,295","97,538","100,485","108,100","96,918","100,827","102,443","102,984","92,385","84,418","83,147","80,849","78,034","75,920","73,911","79,892","78,989","99,719","95,297","109,962","105,165","91,290","70,820","69,959","66,073",
"Alaska","U. Alaska, Southeast","1,194","1,490","1,502","1,707","1,515","1,458","1,532","1,382","1,298","1,830","1,959","2,592","1,520","897","731","1,142","1,418","1,071","966","873","776","669","557","445","330","210","86","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arizona","Total for selected values","1,276,771","1,233,925","1,124,122","1,097,170","1,049,576","1,010,156","1,046,765","1,039,424","1,016,835","983,029","952,089","898,228","863,408","863,116","837,936","785,785","765,292","655,267","627,334","596,561","575,204","539,297","506,162","513,619","529,054","486,980","450,841","445,207","431,648","410,523","364,702","337,257","317,748","288,628","250,746","224,617","220,660","205,723","197,958","182,536","173,136","139,118","125,053","118,123","112,363","114,082","120,978",
"Arizona","Arizona State U.","569,435","560,899","504,887","489,207","437,463","411,508","398,166","385,959","362,028","342,673","327,841","290,114","257,394","234,712","202,957","191,939","188,748","151,775","148,845","138,475","140,347","122,231","108,454","115,673","107,155","88,879","95,969","103,003","96,453","93,997","72,256","66,900","67,950","60,320","53,056","41,680","43,666","23,429","20,978","16,412","20,856","14,282","13,278","11,248","11,166","9,580","8,945",
"Arizona","Dine C.","1,002","1,124","-","-","-","-","-","-","977","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arizona","Northern Arizona U.","52,448","48,033","42,847","37,363","33,597","30,469","29,990","28,100","31,375","29,969","28,128","27,746","29,226","30,968","26,363","24,545","23,009","21,299","18,370","16,099","15,526","15,478","14,507","15,812","15,106","14,618","13,133","12,459","10,502","9,270","8,746","7,118","6,616","4,146","3,879","3,448","2,299","2,681","2,522","2,673","2,319","2,486","2,858","2,820","1,491","1,625","1,257",
"Arizona","Prescott C.","-","-","-","-","-","-","-","-","179","-","-","-","-","-","181","177","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arizona","Southwest C. of Naturopathic Medicine and Health Sciences","205","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arizona","Thunderbird School of Global Management","-","-","-","-","-","965","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arizona","U. Arizona","653,681","623,869","576,388","570,601","578,516","567,215","618,609","625,365","622,275","610,387","596,119","580,368","576,788","597,435","608,435","569,125","553,535","482,194","460,119","441,986","419,331","401,588","383,201","382,133","406,793","383,483","341,740","329,745","324,693","307,256","283,700","263,238","243,182","224,162","193,811","179,489","174,695","179,613","174,458","163,450","149,961","122,350","108,917","104,055","99,706","102,876","110,776",
"Arkansas","Total for selected values","324,745","311,510","289,521","281,775","280,082","275,551","289,491","289,364","288,049","278,226","266,183","275,039","273,247","274,907","251,780","237,223","234,339","173,732","178,356","168,895","147,150","155,557","144,943","134,180","131,154","121,681","115,059","95,246","88,917","80,124","74,551","67,046","64,867","66,124","57,666","52,764","57,230","73,167","65,516","71,637","72,858","57,555","50,195","50,808","46,290","41,029","40,861",
"Arkansas","AR State U. all campuses","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","437","67","315","505","407",
"Arkansas","Arkansas State U., Jonesboro","7,963","7,487","7,366","7,711","8,067","7,812","10,283","14,250","13,693","11,565","9,173","7,317","8,166","6,700","4,656","5,403","3,199","1,577","1,688","1,541","1,999","1,278","1,249","1,228","1,208","1,189","1,169","1,153","1,127","1,186","1,165","731","740","747","751","764","780","798","341","-","392","-","-","-","-","-","-",
"Arkansas","Arkansas Tech U.","-","-","-","-","-","-","-","-","418","195","180","172","-","324","342","993","829","649","659","537","783","557","595","634","675","719","765","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arkansas","Harding U.","-","-","-","-","-","-","-","-","289","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","121","223",
"Arkansas","Henderson State U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","315","258","202","144","83","17","11","11","11","11","12","16","48","194","279","-","66","25","164","212","180",
"Arkansas","Hendrix C.","-","-","-","-","-","-","-","-","989","683","682","720","405","761","714","757","703","654","602","551","498","438","376","314","250","185","116","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arkansas","Lyon C.","-","-","-","-","-","-","-","-","182","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arkansas","Ouachita Baptist U.","-","-","-","-","-","-","-","-","228","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","369","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arkansas","Philander Smith C.","-","-","-","-","-","-","-","-","529","-","-","-","-","-","-","-","-","-","-","92","94","97","98","100","202","223","228","215","234","188","269","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arkansas","Southern Arkansas U.","-","-","-","-","-","-","-","-","264","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arkansas","U. Arkansas for Medical Sciences","136,328","126,384","119,046","118,354","126,398","126,773","131,371","129,056","124,407","124,355","111,905","124,559","117,370","119,769","104,685","87,359","77,131","55,577","65,072","62,853","57,700","52,451","50,152","45,576","39,502","32,336","22,760","23,601","21,649","18,687","17,652","16,680","14,189","12,238","10,106","8,868","10,590","11,593","10,613","13,037","11,795","12,706","11,233","10,501","7,766","8,266","8,973",
"Arkansas","U. Arkansas, Fayetteville","160,445","159,355","146,173","136,896","127,552","121,358","123,336","123,199","122,309","118,519","123,625","122,392","123,016","121,698","123,511","114,017","110,214","102,481","98,137","90,701","80,640","95,222","87,134","81,649","82,666","82,134","84,627","66,496","62,031","58,053","53,511","47,587","48,093","51,314","44,962","41,448","42,910","54,248","46,339","49,975","53,595","44,848","31,070","33,079","33,254","30,830","30,475",
"Arkansas","U. Arkansas, Little Rock","8,880","7,416","6,330","7,178","6,683","7,782","12,881","10,500","12,270","11,452","11,210","10,464","10,378","10,360","4,970","16,260","29,415","2,576","2,617","4,355","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Arkansas","U. Arkansas, Pine Bluff","8,034","7,581","7,537","8,376","8,040","7,907","8,757","9,082","9,596","8,681","7,812","7,677","6,305","7,521","8,385","8,235","8,938","7,373","6,567","6,013","5,435","5,514","5,338","4,679","6,651","4,895","4,711","3,523","3,675","1,866","1,870","2,030","1,835","1,814","1,836","1,673","2,938","6,511","8,176","8,431","6,796","-","7,391","7,135","4,791","1,095","602",
"Arkansas","U. Central Arkansas","3,095","3,287","3,069","3,260","3,342","3,920","2,863","3,277","2,875","2,778","1,595","1,737","7,608","7,774","4,518","4,198","3,911","2,845","3,014","2,252","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Total for selected values","9,338,755","9,236,854","8,546,131","8,389,355","8,260,765","8,105,494","8,213,737","8,401,638","8,383,180","8,149,743","8,057,387","7,698,239","7,512,806","7,430,655","7,300,465","7,220,738","6,619,213","6,030,610","5,550,715","5,210,006","4,799,180","4,505,787","4,196,811","3,947,532","3,713,065","3,597,388","3,549,114","3,552,703","3,321,241","3,208,130","3,067,648","2,972,115","2,779,338","2,528,118","2,301,549","2,109,145","1,994,527","1,903,566","1,923,190","1,854,024","1,708,749","1,636,346","1,608,011","1,590,156","1,535,865","1,434,973","1,517,039",
"California","Alliant International U.","-","-","-","-","-","-","-","732","1,132","-","-","-","-","-","-","-","92","454","648","-","-","-","-","-","-","-","-","-","-","146","365","-","-","-","-","-","-","-","-","-","-","-","-","-","-","95","108",
"California","Art Ctr. C. of Design-Corporate Sponsored Projects","-","-","-","-","-","-","-","-","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Art Ctr. C. of Design-Design Matters","-","-","-","-","-","-","-","-","448","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Azusa Pacific U.","4,984","7,609","7,809","8,400","7,177","-","-","2,056","3,689","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Biola U.","1,028","985","958","944","-","-","-","-","-","-","-","-","-","-","-","-","7","15","-","-","-","-","-","-","-","-","-","-","-","-","21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","CA School of Professional Psychology Alameda","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","638","652","256","159","182","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","CA School of Professional Psychology Fresno","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,324","972","2,360","1,879","2,145","1,981","1,817","894","1,300","1,004","2,171","3,132","1,719","938","480","-","-","-","-","-","-","-","8","-","-","-","-","-",
"California","CA School of Professional Psychology Los Angeles","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","198","270","307","470","641","620","561","744","2,067","2,527","1,043","876","898","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","CA School of Professional Psychology San Diego","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,306","1,336","1,355","619","706","710","36","96","102","103","102","101","100","-","-","-","-","-","-","-","-","54","28","-","-","-","-","-",
"California","California Institute of Technology","356,037","355,038","370,837","350,273","357,313","354,150","341,118","379,713","384,755","376,828","363,565","291,322","310,687","300,173","303,549","307,972","291,512","271,436","269,565","285,187","277,877","245,827","238,949","214,538","192,043","181,764","167,496","165,962","175,507","166,057","160,867","156,676","151,745","141,506","120,595","95,295","97,587","89,653","102,124","102,333","95,424","79,420","101,251","79,848","75,038","73,067","74,424",
"California","California Lutheran U.","1,018","-","-","-","-","-","-","-","755","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","California Polytechnic State U., San Luis Obispo","27,529","14,848","16,655","17,068","15,567","14,560","15,790","17,412","16,849","20,531","20,901","16,117","16,186","14,385","13,172","11,657","16,989","17,275","15,281","15,540","15,571","7,933","7,587","7,275","6,957","6,643","6,315","4,573","4,950","4,897","5,185","3,039","2,831","2,581","2,307","2,044","1,769","1,476","1,284","1,360","1,455","-","1,342","375","218","348","124",
"California","California State Polytechnic U., Pomona","5,430","7,303","5,431","4,960","4,400","5,261","6,867","6,597","7,336","6,756","1,770","1,856","2,666","2,778","3,163","4,788","4,751","3,462","3,131","2,181","1,400","1,768","2,134","2,524","2,929","3,357","3,803","2,650","2,406","2,073","2,141","2,753","2,349","1,901","1,422","934","415","350","1,219","998","178","-","141","133","97","209","626",
"California","California State U., Bakersfield","6,758","5,064","4,309","2,984","3,046","2,346","2,557","1,241","3,223","2,167","2,342","2,013","2,063","17,479","17,376","6,636","6,038","5,360","4,641","4,743","262","364","465","571","682","798","920","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","California State U., Channel Islands","1,399","1,133","1,015","1,306","1,860","3,725","1,215","-","534","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","California State U., Chico","2,877","2,226","1,482","2,231","1,753","2,299","2,819","2,492","2,735","2,998","2,033","1,468","1,942","2,452","3,355","5,308","6,755","6,769","4,893","3,061","4,067","4,484","4,779","2,226","4,749","3,066","3,131","2,712","2,270","1,825","1,352","843","1,711","1,250","936","983","1,034","474","1,027","733","1,256","-","966","768","486","2,109","347",
"California","California State U., Dominguez Hills","1,742","1,855","1,721","2,634","2,440","3,486","4,590","2,894","2,833","2,854","2,985","13,917","14,955","3,615","10,662","20,342","18,747","4,898","5,403","1,278","11,152","9,552","7,884","6,213","4,487","2,703","843","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33","28",
"California","California State U., East Bay","-","-","-","790","-","-","918","1,039","1,676","1,365","3,144","3,163","3,958","3,229","3,766","2,548","1,888","3,029","2,727","2,439","2,137","1,807","1,461","1,115","757","386","-","86","176","273","378","491","468","445","420","397","374","497","532","267","271","-","425","692","305","417","515",
"California","California State U., Fresno","7,655","8,161","7,505","8,105","8,230","7,821","7,550","8,359","8,762","9,050","10,706","8,703","6,181","11,379","15,465","18,885","17,251","11,595","5,679","14,855","14,993","13,741","11,800","10,311","8,779","7,205","5,564","5,032","4,468","3,917","3,335","2,709","2,512","2,276","2,018","1,768","1,506","1,227","944","856","864","-","302","759","693","2,357","2,007",
"California","California State U., Fullerton","6,386","5,764","5,104","5,433","5,355","7,638","18,159","22,222","28,727","22,657","15,682","9,586","7,693","8,764","8,596","8,765","6,442","11,452","9,272","7,064","4,756","2,323","2,349","2,390","2,434","2,485","2,538","2,598","2,657","2,747","2,850","2,961","2,047","2,008","1,957","1,924","1,896","2,530","2,615","454","1,674","-","580","356","201","351","415",
"California","California State U., Long Beach","16,616","20,775","17,420","15,472","8,426","9,739","12,575","13,696","14,875","16,121","14,161","17,394","15,891","12,080","12,093","13,194","18,048","9,902","5,007","41,691","40,962","24,658","7,849","7,984","7,898","7,826","7,751","7,687","7,608","7,603","7,616","7,631","6,700","5,635","4,493","3,340","2,119","1,728","2,250","2,162","1,599","-","1,420","1,950","1,089","1,483","2,478",
"California","California State U., Los Angeles","11,107","8,712","7,665","5,070","4,781","4,988","7,527","7,192","8,992","8,026","9,803","10,757","13,086","10,725","12,335","10,491","8,651","9,788","6,965","11,606","701","1,372","2,057","2,773","3,516","4,297","5,112","4,863","4,600","4,369","4,132","3,878","3,655","3,382","3,080","2,796","2,501","2,280","2,593","3,000","2,778","-","2,571","2,855","3,076","3,448","1,420",
"California","California State U., Maritime Academy","2,634","2,759","1,780","2,081","1,472","975","2,437","2,793","3,063","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","California State U., Monterey Bay","5,737","5,266","5,000","5,362","5,241","4,617","6,023","6,567","7,092","5,520","6,530","6,655","7,603","4,560","4,627","4,001","3,203","2,358","2,395","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
